Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Wunderkind,—,501-1000,"Wunderkind is a performance marketing engine that delivers tailored experiences at scale. Digital businesses use Wunderkind to remember who users are better than ever before, allowing them to deliver high-performing, one-to-one messages on websites, through emails and texts, and in ads at a scale that’s not otherwise possible. Wunderkind drives $1.2 billion dollars annually in directly attributable revenue for top e-commerce brands like Uniqlo, Sonos, and HelloFresh, often ranking as a top-3 revenue channel in their own analytics. Wunderkind is maniacally obsessed with ROI and aims to be the infrastructural interface between individuals and brands in a world where consumers choose what they want, from whom, and when. Learn more at wunderkind.","New York, New York, United States",2010,"Advertising, Analytics, Digital Marketing,,,","Wunderkind enables brands to better recognize their customers online, providing 1-to-1 marketing at scale.","Mar 2, 2023",Series C,"$76,000,000","Silicon Valley Bank, Neuberger Berman Group,,,",—,Women Founded,"Greater New York Area, East Coast,"
Parker,—,11-50,"Parker offers corporate credit cards to help e-commerce businesses pay expenses and manage their finances. In order to increase profits and unleash the full potential of your brand, Parker offers its users a card to pay for expenses as well as tools to monitor important metrics. The company's eCommerce business credit card offers net terms on each transaction, has average credit limits higher than conventional business credit cards, and is targeted at middle-market businesses.","New York, New York, United States",2019,"Banking, E-Commerce, Finance,,",Parker offers corporate credit cards to help e-commerce businesses pay expenses and manage their finances.,"Mar 16, 2023",Debt Financing,"$120,000,000","Jefferies, TriplePoint Capital, Valar Ventures",—,—,"Greater New York Area, East Coast,"
Stripe,—,1001-5000,"Stripe is a global technology company that builds economic infrastructure for the internet. Businesses of every size, from new startups to public companies like Salesforce and Facebook, use the company’s software to accept online payments and run complex global operations. The company combines economic infrastructure with a set of applications for new business models like crowdfunding and marketplaces, fraud prevention, analytics, and more. Stripe navigates global regulatory uncertainty and partners closely with internet leaders like Apple, Google, Alipay, Tencent, Facebook, and Twitter to launch new capabilities. It was founded in 2010 by John and Patrick Collison and has its headquarters in San Francisco, California.","San Francisco, California, United States",2010,"Finance, FinTech, Mobile Payments,",Stripe is a developer-oriented commerce company that helps small and large companies accept web and mobile payments.,"Mar 15, 2023",Series I,"$6,500,000,000","Google, Sequoia Capital, Andreessen Horowitz,,",$10B+,—,"San Francisco Bay Area, West Coast,"
Airtel,—,10001+,"Bharti Airtel Limited, commonly known as Airtel, is an Indian multinational telecommunications services company headquartered in New Delhi, India. It operates in 20 countries across South Asia, Africa, and the Channel Islands. Airtel has a GSM network in all countries in which it operates, providing 2G, 3G and 4G services depending upon the country of operation. Airtel is the largest provider of mobile telephony and second largest provider of fixed telephony in India, and is also a provider of broadband and subscription television services. It offers its telecom services under the ""airtel"" brand, and is headed by Sunil Bharti Mittal. Bharti Airtel is the first Indian telecom service provider to achieve Cisco Gold certification. It also acts as a carrier for national and international long distance communication services. The company has a submarine cable landing station at Chennai, which connects the submarine cable connecting Chennai and Singapore.","New Delhi, Delhi, India",1995,"Mobile, Public Relations, Telecommunications","Airtel is a global telecommunications company that provides mobile, voice, and data solutions.","Aug 25, 2022",Post-IPO Secondary,"SGD2,250,000,000","Google, BlackRock, Warburg Pincus,,",$1B to $10B,—,Asia-Pacific (APAC)
Pinterest,—,5001-10000,"Pinterest is a visual bookmarking tool for saving and discovering creative ideas. It helps its users to discover and do what they love--including recipes, arts and crafts, clothing, and home projects. Its site and app allow its users to save and post images on different boards, categorized and curated to each user's individual tastes. Users can also follow boards created by other users, and re-post (or ""pin"") items to their own boards. The company was launched in 2009. To date, the site has more than 150 million monthly users and has more than than 1,000 employees.","San Francisco, California, United States",Mar 2010,"Internet, Social Bookmarking,,,",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,"Jul 14, 2022",Post-IPO Equity,—,"Rakuten, Andreessen Horowitz,,,",$500M to $1B,—,"San Francisco Bay Area, West Coast,"
Dojo,—,501-1000,"Dojo is a financial technology company providing card payment solutions for small and medium-sized businesses in the UK and Ireland. From Contactless card machines to online payments and integrated services, Dojo supplies over 100,000 small businesses with card processing solutions that allow them to take payments in store, online, over the phone and on the move.","London, England, United Kingdom",2009,"Financial Services, Payments,,",Dojo is a financial technology company providing card payment solutions for small and medium-sized businesses in the UK and Ireland.,"Apr 20, 2018",Debt Financing,"£218,000,000","EQT AB, CVC Credit Partners",$50M to $100M,—,—
The Believer Company,—,1-10,"The Believer Company is a game development studio dedicated to putting the player at the center of their games. It has game developers from all over the world who have created games ranging from Words With Friends to League of Legends, Destiny to PvZ.","West Hollywood, California, United States",2022,"Gaming, Information Technology,,",The Believer Company is a game development studio dedicated to putting the player at the center of their games.,"Mar 7, 2023",Series A,"$55,000,000","Riot Games, Andreessen Horowitz,,,",—,—,"Greater Los Angeles Area, West Coast,"
Comcast,—,10001+,"Comcast Corporation is a global media and technology company with two primary businesses, Comcast Cable and NBCUniversal. Comcast Cable is one of the nation’s largest video, high-speed internet, and phone providers to residential customers under the XFINITY brand, and also provides these services to businesses. It also provides wireless and security and automation services to residential customers under the XFINITY brand. NBCUniversal operates news, entertainment, and sports cable networks, the NBC and Telemundo broadcast networks, television production operations, television station groups, Universal Pictures, and Universal Parks and Resorts.","Philadelphia, Pennsylvania, United States","Jun 28, 1963","Internet, Telecommunications,,,",Comcast is a media and technology company that connects millions of people to the moments and experiences that matter most.,"Jul 11, 2022",Grant,"$7,741,401","Trian Fund Management, Connect Maryland",$10B+,—,"Greater Philadelphia Area, Great Lakes,"
Airbnb,—,5001-10000,"Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet. The company connects travelers seeking authentic experiences with hosts offering unique, inspiring spaces. Whether the available space is a castle for a night, a sailboat for a week, or an apartment for a month, Airbnb is the easiest way for people to showcase these distinctive spaces to an audience of millions. By facilitating bookings and financial transactions, Airbnb makes the process of listing or booking a space effortless and efficient. With 4,500,000 listings in over 65,000 cities in 191 countries, the company offers the widest variety of unique spaces for everyone, at any price point around the globe. The company was co-founded in August 2008 by Brian Chesky and Joe Gebbia, and is currently headquartered in San Francisco, California.","San Francisco, California, United States","Aug 11, 2008","Hospitality, Marketplace, Mobile Apps,,","Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.","Jun 3, 2020",Secondary Market,—,"Citi, JP Morgan Chase, Silver Lake,,",$1B to $10B,—,"San Francisco Bay Area, West Coast,"
Tesla,—,10001+,"Tesla Motors specializes in developing a full range of electric vehicles. Tesla Motors was started by a group of Silicon Valley entrepreneurs and strives to create a revolution and accelerate the world’s transition to electric mobility with a full range of increasingly affordable electric cars. Tesla vehicles are EVs (electric vehicles), which are transforming the way people drive and move. Tesla has gone public as of June 29, 2010, and has a market cap of $34.32 billion. Tesla Motors’ goal is to increase the number and variety of EVs through three strategies. The first is to sell its own branded vehicle through its showrooms. The second is to sell premium, high-quality, patented electric components to other automakers. Lastly, it serves as a “catalyst and positive example to other automakers.” There has already been a movement in the EV market with the push of the GM Volt, rumored to have been inspired by the Tesla Roadster.","Austin, Texas, United States","Jan 1, 2003","Automotive, Autonomous Vehicles,,,",Tesla Motors specializes in developing a full range of electric vehicles.,"Jun 30, 2022",Post-IPO Equity,"$20,000,000","Deutsche Bank, Tencent, Citi, Google,",$500M to $1B,—,Southern US
